CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
CFMOTO,450 MT,BLK,2026,1
CFMOTO,450CLC,BLK,2025,5
CFMOTO,450CLC,BLK,2026,1
CFMOTO,450CLC,WHI,2025,1
CFMOTO,450MT ,BLK,2025,3
CFMOTO,450MT ,BLK,2026,15
CFMOTO,450MT ,BLU,2025,3
CFMOTO,450MT ,BLU,2026,9
CFMOTO,450MT ,GRY,2025,5
CFMOTO,450NK ,WHI,2025,2
CFMOTO,450SR ,BLK,2025,3
CFMOTO,450SR ,BLK,2026,1
CFMOTO,450SR ,WHI,2025,5
CFMOTO,450SR ,WHI,2026,1
CFMOTO,450SRS,BLK,2026,5
CFMOTO,450SRS,WHI,2025,1
CFMOTO,450SRS,WHI,2026,3
CFMOTO,675 NK,GRY,2026,1
CFMOTO,675NK ,WHI,2025,1
CFMOTO,675SRR,BLK,2025,2
CFMOTO,675SRR,GRY,2025,1
CFMOTO,675SRR,GRY,2026,2
CFMOTO,675SRR,WHI,2025,1
CFMOTO,675SRS,WHI,2025,1
CFMOTO,700MT ,WHI,2025,1
CFMOTO,800 MT,BLU,2026,1
CFMOTO,800MT ,BLK,2025,4
CFMOTO,800NK ,BLK,2025,1
CFMOTO,A     ,BLU,2026,1
CFMOTO,C400  ,GRN,2026,1
CFMOTO,CF1000,BLU,2025,1
CFMOTO,CF250 ,BLU,2026,1
CFMOTO,CF520 ,RED,2026,1
CFMOTO,CF8001,BLK,2025,1
CFMOTO,CL250 ,GRN,2025,1
CFMOTO,CLX 70,BLU,2025,1
CFMOTO,ML450 ,BLK,2026,1
